BRAND,TOTAL_VISITS
Pets Warehouse,1651132
Petsense,12105390
Phantom Fireworks,592317
Pharmaca,2686267
Phenix Salon Suites,4592260
Phil's BBQ,2056132
Phillips 66,100190569
Phillips Seafood,1567611
Philly Connection,1246519
Philly Pretzel Factory,5812428
Philz Coffee,25235699
Pho Hoa,3064325
Phoenix,986981
Physique57,311039
Piada Italian Street Food,828256
Piara Pizza,2457707
Pic-N-Pac,951462
Picadeli,39149294
Piccadilly Restaurants,959120
Pick Up Stix,2256661
Pick n Pull,707904
Pickleman's,150740
Picture People,59316
Pie Five Pizza Co,4641085
Pie Zoni's,161632
Pieology Pizzeria,21973308
Pier 1 Imports,10591014
Piggly Wiggly,38112923
Pigtails & Crewcuts,1741490
Pilates Proworks,40832
Pilot Flying J,271550652
Pilot Freight Services,323939
Pinch A Penny,22652829
Pinchers,1307201
Pincho Factory,2663524
Pine Environmental Services LLC (Pine),7103
Pink Barre,18676
Pink Taco,3502666
Pinkberry,10435280
Pinnacle 365,10578759
Pinnacle Financial Partners,2693
Pinot's Palette,1775706
Pinstripes,189833
Pioneer Bank,547380
Pioneer Bank Texas,99350
Pioneer Supermarkets,10834188
Pit Stop,1375452
Pita Mediterranean Street Food,3816001
Pita Pit,8145655
Pitfire Pizza,1931718
Pizza Cucinova,16906
Pizza Factory,8150875
Pizza Fusion,590669
Pizza Guys,8785556
Pizza Hut,644341692
Pizza Inn,3915837
Pizza Joe's,7217228
Pizza Loca,62409
Pizza My Heart,2700520
Pizza Patrón,6693358
Pizza Pro,3285761
Pizza Ranch,955275
Pizza Shoppe,598637
Pizza Studio,488831
Pizza Twist,2291262
Pizza World,2669851
PizzaExpress,968017
PizzaRev,770991
PlainsCapital Bank,3463553
Planet Beach,220971
Planet Beauty,419006
Planet Blue,351798
Planet Fitness,321278620
Planet Smoothie,51795644
Planet Sub,1070681
Planet Wings,1434397
Plato's Closet,39881212
Platt Electric Supply,695162
Play It Again Sports,26894658
Playa Bowls,34088302
Plaza Azteca Restaurants,7018167
Plaza Tire Service,950753
Plow & Hearth,335933
Pluckers Wing Bar,20028398
Point S Tire & Auto Service,179985
Poke Bar,5030688
Poke Bros,2299517
Poke House,401534
Poke Works,11217981
Pokeatery,1718889
Pokemoto,1221000
Polaris,1772618
Pollo Campero,12745015
Pollo Tropical,87152116
Polly's Pies,3872152
Pomp's Tire Service,36510
Pontillo's Pizzeria,600576
PoolCorp,2141327
Poolwerx,454674
Popbar,1420517
Popeyes Louisiana Kitchen,1148472041
Poppin,561353
Popular Community Bank,1674628
Porcelanosa,1899634
Porsche,167760
Porsche Design,362145
Port of Subs,7916208
Porters,1454940
Porters Thriftway,4014092
Portillo's Restaurants,4065724
Ports Via Restaurants,610431
PostNet,1089380
Postal Connections,152644
PostalAnnex+,2326632
Postino,1014370
Potato Corner,4912584
Potbelly Sandwich Works,83568064
Pottery Barn,12786652
Pottery Barn Kids,2566367
Pour Boy Oil,153100
Power Finance Texas,270403
Power Market,10249681
Powerhouse Gym,11783912
Prada,753123
Praxair,52318
Precision Door Service,133957
Precision Tune Auto Care,2385130
Preferred Hotels & Resorts,30276259
Premier Cinemas,4879182
Premier Rental Purchase & Home Furnishing,256217
Premier Truck Group,77176
Premier Wireless,68830
Prenger Foods,2915755
Presidente Supermarkets,17306413
Pressed Juicery,7415304
Presto-X,19535
Pret A Manger,42784402
Pretty Kitty,138283
Pretzelmaker,5214077
Price Busters Discount Furniture,187458
Price Chopper,22544282
Price Chopper Supermarket,108391555
Price Cutter,14194101
PriceRite,27948028
Pride,236562
Pride Cleaners,438201
Pride Staff,77911
Primanti Bros.,15259527
Primark,5083108
Prime IV Hydration and Wellness,215636
Prime Lending,4694713
Prime Storage,1884049
Primerica,4152501
PrimoHoagies,14036675
Primos,1488574
Pro Cuts,576884
Pro Image Sports,15307916
ProCare Automotive and Collision,474440
ProSource Wholesale Flooring,654863
Procter & Gamble Plant,2862053
ProfessioNAIL,3196404
Progressive,158804422
Project Juice,186466
Pronto Insurance,3596995
Propel Fuels,7576142
Proper Food,580113
Proper Hotel,266321
Provino's Italian Restaurant,3140140
Psycho Bunny,1774097
Public Lands,1649101
Public School Restaurant and Bar,32858
Public Storage,95884682
Publix Distribution,265094
Publix Liquor Stores,16552236
Publix Pharmacy,48380862
Publix Super Markets,834748198
Pull A Part,527962
Pump It Up,780795
Punch Bowl Social,396408
Purcell Tire & Rubber,84033
Pure Barre,17334907
Pure Hockey,2723538
Pure Pilates,204624
Purple,2418989
Purrfect Auto Service,360106
PwC,656225
QC Supply,164571
QFC (Quality Food Centers),70967078
QFC Pharmacy,601048
QTS Realty Trust,190203
QVC Outlet,182339
Qdoba Mexican Grill,146293781
Quaker Chemical Corporation,112471
Quaker Steak & Lube,6321570
Quality Foods,785277
Quality Inn,86739896
Quantix,619803
Quarles Fleet Fueling,1310416
Quick Fuel,7605492
Quick Lane,20250452
Quick N Clean Car Wash,103164
Quick Quack Car Wash,1261469
Quick Weight Loss Center,14532
QuickChek,91953727
Quicklee’s,4258147
Quickly,3074841
Quik Stop,10650707
QuikTrip,515075422
Quiksilver,1963576
Quiznos,8823875
Qwench Juice,925789
R Bank,207438
R Wireless,2917324
R+D Kitchen,2050061
R.E. Michel,1302850
RBC Capital Markets,95755
RC Willey Home Furnishings,1101329
RDO Equipment Co,214640
REI,36181813
REISS,595233
REMAX,12306181
REO Processing,26032
RES IPSA,1044780
RNR Tire Express,559132
RP Lumber,3477915
RPM International Inc.,546711
Ra Sushi,1987221
Rabo AgriFinance,463034
Race Brothers Farm and Home Supply,79792
RaceTrac,396459123
RaceWay,68467034
Raceway Car Wash,182163
Rack Room Shoes,57222560
Rad Power Bikes,2633762
Radial,34293
Radiant Logistics,20962
Radiant Waxing,491399
Radiator,1210968
RadioShack Express @ HobbyTown,5109996
Radisson Americas,11349867
Radley,351978
Rag & Bone,1944141
Rainbow Shops,122295870
Rainforest Cafe,1046939
Raising Cane's,208964833
Rajbhog Food,241736
Raley's,81038611
Raley's Distribution,74939
Rally,1482197
Rally House,14461118
Rally Niagara BadMinton & Pickleball,181647
Rally's Drive-In Restaurants,25646255
Ralph Lauren,12282580
Ralph's Italian ices & Ice Cream,4340224
Ralphs,213646770
Ralphs Distribution,238544
Ram,362601
Ram Restaurant and Brewery,445092
Ram Tool & Supply,2562710
Ramada,25269487
Ramen Yamadaya,756916
Ramona Tire & Service Center,171718
Ramunito's Brick Oven Pizza,183486
Ranch One,1394714
Rancho San Miguel Markets,243475
Randall's Food Markets,41711464
Randolph-Brooks Federal Credit Union (RBFCU),569561
Randstad,187923
Rapid Roberts,1966725
Ray's Food Place,6479396
Ray-Ban,427934
Raymond James Financial,2880831
Raymour and Flanigan Furniture,34727479
Razer,646517
Razoo's Cajun Cafe,14028245
Re-Bath,4763611
Real Deals,218026
Real Fruit Bubble Tea,14455747
Rebag,761286
Rebecca Taylor,38659
Rebel Convenience Store,32430413
Recology,164960
Red Dot Storage,483018
Red Hot and Blue Restaurants,541778
Red Lion Hotels,5234730
Red Lobster,129560891
Red Mango,3170398
Red Ribbon Bakeshop,320713
Red Robin Gourmet Burgers,136263272
Red Roof Inn,22140684
Red Roof PLUS+,12065858
Red Star Vapor,27780
Red Wing Shoes,23756768
Reddy Ice,557097
Redlands Grill,1176740
Redner's Markets,149572247
Redstone,777366
Reebok,7829627
Reeds Jewelers,660973
Reformation,1291035
Refuel Market,15754685
Regal Entertainment Group,20804912
Regal Nails Salon & Spa,7049726
Regatta,792662
Regency Theatres,1379760
Regina Pizzeria,499697
Regional Finance,2827108
Regions Bank,10359876
Regis Salons,506955
Regus,30084989
Regymen Fitness,315441
Rejuvenation,606902
Relais & Chateaux,3754929
Relax The Back,2597046
Relax and Wax,1290448
Renaissance Hotels,18088145
Renasant Bank,951406
Renewal By Anderson,295280
Rent A Wheel,3741044
Rent A Wreck,231457
Rent King,219806
Rent One,91212
Rent-A-Center,12875157
Repligen,34996
Republic Services,978929
Residence Inn by Marriott,96229915
Restaurant Depot,19083671
Restoration Hardware,470968
Restore Hyper Wellness,1640192
Retro Fitness,21477864
Rexel,380795
Rey Del Pollo,910894
Rhodes 101,5433183
Rhone,252089
Ria Money Transfer,914459
Rib City,1932345
RibCrib,1365688
Riddle's Jewelry,376064
Ridgewood Savings Bank,1281224
Riggins,4759072
RightSpace Storage,1988896
Rimowa,124011
Ring Power,1240529
Rio Grande Mexican Restaurant,149756
Rio Ranch Market,2457869
Rip Curl,1696709
Ripley's Entertainment Inc,5976823
Ris Roofing & Insulation Supply,152678
Rising Roll Gourmet Cafe,367234
Rita's Italian Ice,252912970
Rite Aid,484527899
Rite Aid Pharmacy,94485578
RiteCheck,189952
Ritter's Frozen Custard,2969853
Rituals Cosmetics,151614
Rivian Service Center,957371
Road Ranger,15347652
Road Runner Sports,3269021
Roadrunner Transportation Systems,188151
Roady's,1040081
Robeks,9122208
Robert Graham,503098
Robert Wayne Footwear,2256740
Roberto Cavalli,56646
Roberto's Taco Shop,6495350
Robinson's Taekwondo,23285
Roche Brothers Supermarket,5228812
Rock & Brews,16567041
Rock N' Roll Sushi,7257153
Rock and Reilly's,235217
Rock n Joe Coffee Bar,440056
Rock's Discount Vitamins,1449213
Rocket,65568690
Rocket Car Wash,310480
Rocket Fizz,4737239
Rockfish Seafood & Grill,440489
Rockin' Jump,1769760
Rockland Trust,5549820
Rockler,928725
Rocky Mountain Chocolate,6580127
Rodd & Gunn,178054
Rodda Paint,699682
Rodeway Inn,19036835
Rodizio Grill,2693823
Roger Dunn Golf Shops,1840295
Rogers & Hollands,738232
Rolex,705215
Roll ‘Em Up,275618
Roly Poly,647734
Romantix,780603
Romeo's Pizza,1462963
Romp & Roll,354208
Ron John Surf Shop,5326892
Roofline Supply & Delivery,136956
Room & Board,3500020
Rooms To Go,9634893
Rooms To Go: Kids,8470260
Roosters,923663
Rosa Mexicano,1571721
Rosa's Cafe,2850784
Rosati's,3412975
Rosati's Chicago Pizza,204953
Rosauers,24664697
Roses,32376704
Roses Express,14441466
Rosetta Bakery,19373
Rosewood Hotels and Resorts,8027875
Ross Stores,414233057
Rothy's,2679229
Roti Mediterranean Grill,220098
Rotolo's Pizzeria,76529
Rotten Robbie,13978586
Round One Entertainment,442932
Round Table Pizza,30313419
Row House,3569088
Rowan,1784813
Roy Rogers,17503504
Royal Beauty Supply,281817
Royal Blue Grocery,1310113
Royal Business Bank,961699
Royal Farms,15374615
Rubio's Restaurants,17145898
Ruby Tequila's,303520
Ruby Thai Kitchen,14063390
Ruby Tuesday,4164147
Ruby's Diner,3534579
Rudy's Barbershop,478214
Rudy’s Country Store and Bar B Q,21327044
Ruffit,307671
Rumble,1569224
Runnings,2730473
Rush Bowls,2804283
Rush Truck Centers,42777
Russell Cellular,7440710
Russell Stover,674206
Russo’s New York Pizzeria,1726183
Rusty Taco,4177561
Ruth's Chris Steak House,14194144
Rutter's Farm Stores,71475675
Ryan's,102315
Ryder,6119071
S&S Food Stores,1330288
S&T Bank,2803795
SAS San Antonio Shoemakers,2613640
SCANIA,2512115
SCP Distributors,1079392
SEVA Beauty,442266
SHOP 'n SAVE Supermarkets,23897315
SIGNAL Food Stores,10814015
SLS,134508
SLT,626286
SMBC,272567
SNAP Custom Pizza,6790280
SNIPES,11527609
SNS SneakersnStuff,441604
SOI Brow Threading,1141549
SOMISOMI Soft Serve & Taiyaki,3972719
SPENGA,2306844
SRS Building Products,91980
STANCE,744403
SVB Silicon Valley Bank,799916
SVS Vision,82934
SYGMA,131731
Sabine State Bank and Trust Company,40938
Sabor Tropical,5370780
Saddle Creek Logistics Services,61885
Safeguard Self Storage,1382825
Safelite,7352361
Safeway,639684612
Safeway Fuel Station,77946429
Safeway Pharmacy,12176586
Sage,487733
Sage Dental,1093236
Sahara Pizza,1543471
Saia LTL Freight,3614109
Saint Laurent,3583850
Saje,17551
Sajj Mediterranean,917605
Saks Fifth Avenue,19130021
Saks Off Fifth,23020245
Sal's Italian Ristorante,1948426
Salad and Go,43341707
Saladworks,37092889
Salata,19115476
Salem Five Cents Savings Bank,736439
Salisbury Construction & Industrial Supply,916609
Sally Beauty Supply,50361455
Salo-Salo Grill,327088
Salon Lofts,1284144
Salon Republic,975027
SalonCentric,6482485
Saloniki Greek,274854
Salons by JC,1471564
Salsa Fresca Mexican Grill,560104
Salsarita's Fresh Cantina,1421854
Salt & Straw,16035695
Salt Creek Grille,163330
Saltgrass Steak House,35280899
Salvatore's,10806970
Sam & Louie's New York Pizzeria,486738
Sam Ash Music,1159974
Sam Auto Glass,771873
Sam Edelman,88900
Sam Moon,215845
Sam's Club,951304628
Sam's Club Distribution,406278
Sam's Club Fuel Center,17653167
Sam's Southern Eatery,850403
Sammy's Woodfired Pizza and Grill,385661
Samsonite,3991715
Samsung Experience Stores,4340365
San Diego Style Sombrero Mexican Food,5508851
Sandella's Flatbread Café,288879
Sandri,130207
Sandro,844723
Santander Bank,8485078
Saravana Bhavan,3804428
Sarku Japan,40156251
Sarpino's Pizzeria,1057463
Sauce Pizza & Wine,522486
SavMor Foods,1120137
SavOn,1533205
Save Mart Distribution,191665
Save Mart Supermarkets,83085779
Save-A-Lot,98869547
Savers Thrift Stores,2455242
Savi Formal Wear,429161
Savills,151374
Savory Spice Shop,2074944
Savvy Discount Furniture,590187
Saxbys Coffee,18320731
Sbarro,65601454
Scan Design,2051560
Scandinavian Designs,147854
Scenthound,638507
Scheels,1744424
Schlotzsky's,98826586
Schneider National Facility,43119
Schnippers,12600
Schnucks,47166960
School of Rock,1380238
Schuykill Valley Sports,260018
Scissors & Scotch,536702
Scooter’s Coffee and Yogurt,97817666
Scotch and Soda,1071240
Scramblers,830710
ScrubaDub Auto Wash Centers,280474
Scrubs & Beyond,13411203
Sea Bags,536429
Sea Island Shrimp House,360560
Seabra Food,2860768
Seacoast National Bank,1536479
Seafood City,16268518
Seal Master,219935
Sealed Air Corporation,2867036
Seaonus,129228
Sears,4094469
Sears Auto,859536
Sears Home Services,158987209
Sears Hometown Store,13168706
Sears Outlet Store,551885
Seaside Bank and Trust,140238
Seasons 52,13254583
Seasons Pizza,1893772
Seattle Sun Tan,409003
SecurCare Self Storage,2801979
Securitas,487912
Security Finance,5593606
Security Public Storage,430205
Security Self Storage,35711
Sedano's Supermarkets,20529658
Sedona Taphouse,870774
See,242386
See's Candies,13739869
Seko Logistics,417410
Seldens,352780
Self Made Training Facility,2142512
Sellers Bros.,7811571
Semper Laser,86433
Seoul Taco,3818784
Sephora,96267053
Serena & Lily,3798925
Serendipity Labs,1415681
Servcorp,586190
Service King,1655267
ServiceMaster,299787
ServiceMaster Restoration Services,1519818
ServisFirst Bank,114227
Sesame Place,6456947
Settebello,767828
Shake Shack,105382863
Shakey's,8761672
Shane Co,722401
Shane's Rib Shack,12873316
Shanghai Commercial Bank,92326
Sharetea,25351260
Shari's,1407847
Sharkey's Cuts for Kids,4321111
Sharky's Woodfired Mexican Grill,10094818
Sharp Shopper,9955960
Shaw's,55653150
Sheetz,191598005
Shell Oil,874668441
Shelter Insurance,2791229
Sheraton Hotels & Resorts,33726310
Sherwin-Williams,44127601
Sherwin-Williams Industrial Wood,106847
Shiekh Shoes,4327533
Shield Healthcare,431056
Shihlin Taiwan Street Snacks,550835
Shinhan Bank,816081
Shinola,351210
Shipley Donuts,17483131
Shoe Carnival,18853062
Shoe City,1775374
Shoe Dept Encore,87381894
Shoe Palace,7798897
Shoe Sensation,11348975
Shoe Show Mega,16011870
Shoe Station,1706278
Shogun,2260733
Shoney's,2768856
Shoot Point Blank,1145874
ShopRite,461454743
ShopRite Pharmacy,33749455
ShopRite Wine & Spirits,8297633
Shopko,207185
Shoppers World,1613640
ShowBiz Cinemas,254774
ShowPlace Icon Theatres,2200033
Showcase Cinemas,6228979
Shred-it,465564
Shred415,196733
Shrimp Basket,519231
Shubh Beauty,3024214
Shula Burger,292020
Shula's Bar & Grill,196103
Shun Fat Supermarket,2094142
Sierra,6999746
Sierra Móveis,414791
Sigel's Beverages,930105
Signature Bank,687964
Signature Inn,337843
Silgan Containers,898978
Silver Diner,3844257
Silverspot Cinema,2104789
Simmons Bank,3646906
Simon Pearce,49284
Simple Simon’s Pizza,5067192
SimpleFLOORS,60867
Simply Mac,600713
Simply Self Storage,406763
Sincerely Yogurt,4549942
Sinclair Oil,24149742
Singas Famous Pizza,560888
Sir Speedy,445210
Sirloin Stockade,3642850
Sit 'n Sleep,3635844
Site for Sore Eyes,592444
SiteOne Landscape Supply,6736131
Six Flags,21671761
Sixt Rent-A-Car,648593
Sixty,285124
Sizzler,7698284
Skagit Farmers Supply,45399
Skechers,27533834
Skims,3423853
Skippers,8305968
Skoah,232103
Skrimp Shack,635245
Sky Zone,10465985
Slack's Hoagie Shack,79082
Slapfish,7469473
Slaters 5050,330451
Sleep Experts,4728977
Sleep Inn,32577580
Sleep Number,29751086
Sleep Outfitters,48333
Slim Chickens,36886090
Slim4Life,316728
Slumberland Furniture,351915
Small Door Vet,231894
Small Luxury Hotels of the World (SLH),690649
Smallcakes,1398568
Smart & Final,158420362
Smart Foodservice,1098387
Smart Start,1163504
Smart Stop Self Storage,473128
SmartStyle Family Hair Salons,30108358
Smashburger,38213003
Smile Design Dentistry,440472
Smile Direct Club,210433
Smile Doctors,1749319
Smith & Wollensky,953660
Smoker Friendly,1190951
Smokers Choice,3462935
Smokey Bones,2805759
Smoothie Factory + Kitchen,1642435
Smoothie King,308754438
Smurfit Westrock,14355558
Snap Fitness,13725077
Snapbox Self Storage,188269
Snappy Salads,6998904
Snappy's,2700548
Snarf's Sandwiches,832754
Snip-its,807469
Snooze Eatery,7287327
Snuffer's Restaurant & Bar,5823365
SoBol Acai Bowls & Beyond,5432897
Soapy Joe's Automatic Car Wash,668493
Soccer Post,1979498
Sofitel,1383080
Soft Surroundings,2303921
Sola Salon Studios,5241299
Solstice Sunglasses,519480
Soma Intimates,3793662
Somerset Trust Company,1673358
Sonesta Hotels & Resorts,18926635
Sonic,1104698567
Sonic Automotive,129803
Sonny’s Real Pit Bar-B-Q,25374075
Sonoco Products Company,1936874
Sotheby’s International Realty,2770162
SoulCycle,3081520
Soulman's Barbque,6626131
Soup Shack,684011
Souper Salad,212019
Souplantation,661126
Source for Sports,4775391
South Beach Tanning Company,318727
South Moon Under,549895
South Shore Bank,395419
South State Bank,6124409
Southern Finance,45113
Southern Self Storage,19933
Southern Tire Mart (STM),2059796
Southern Tire Mart at Pilot Flying J,886442
SouthernCarlson,935141
Souvla,622594
Space NK,60629
Spaces,3807930
Spangles,3307903
Spark by Hilton,936520
Sparkle,2486914
Sparkling Image Car Wash,496130
SpartanNash Distribution,294804
Spavia,379102
"Spec's Wine, Spirits & Finer Foods",31536906
Specialty's Cafe and Bakery,1309306
Spectrum,26643586
SpeeDee Oil Change & Auto Service,2155731
Speedway,674998139
Speedy Cafe,2053032
Speedy Cash,986430
Speedy Glass,277703
Speedy Stop,8985773
Spencer's,37342830
Sperry Top-Sider,2341650
Spherion Staffing Services,147201
Spin! Neapolitan Pizza,9125798
Spirits Unlimited,5210839
Spitz,218116
Splash Car Wash,485889
Splendid,875171
Sport Clips,30823709
Sports Basement,1368192
Sports Fever,3681686
Sportsman's Warehouse,24618185
Spread Bagelry,703640
Spring Creek Barbeque,1145804
Spring Market,7594410
SpringHill Suites by Marriott,115386115
Sprinkles,7110715
Sprint,4584301
Sprint Food Store,22749621
Sprouts,384829758
Sprouts Distribution,467940
Squeeze In Breakfast & Lunch,912223
St. Regis,3432111
Staffmark,178865
Stage Stores,1175419
Standard Bank Pennsylvania,195227
Stanton Optical,3757149
Staples,107695512
Staples Studio,1299365
Staples Warehouse,531957
Star Furniture,123973
Star Market,33601051
Starbucks,3103714207
Starcycle,2049664
Starlight Cinemas,119666
Starr Western Wear,5826939
State Farm,69480922
State RDA,1285567
Stater Bros. Markets,262590277
StaxUP Storage,468815
Staybridge Suites,22799333
Steak 'n Shake,111165959
Steak-Out,1102937
Stein Mart,3503276
Stellar Bank,1948805
Sterling National Bank,1539090
Sterling Optical,1080438
Steve Madden,27863116
Stevi B's Pizza Buffet,2142907
Stew Leonard's,5486608
Stewart's Shops,68063415
Stickley Audi Furniture,514267
Stir Fry 88,9239500
Stone Brewing,350426
Stone Fire Grill,3349144
Stone Island,31416
Stoneside Blinds & Shades,149869
Stonewood Grill & Tavern,1095829
Stop & Shop,408303280
Stop & Shop Pharmacy,5228506
Stor America Self Storage,205013
StorQuest,2949673
Storage Court,463752
Storage King USA,2128683
Storage Mart,628503
Storage Outlet,385609
Storage Pros,1858744
Storage Rentals of America (SROA),871180
Storage West,142183
Store Space Self Storage,521307
Straw Hat Pizza,2196854
Strayer University,6140501
Street Corner,2540592
StretchLab,6885716
Stride Rite,1401472
Stripes Convenience Stores,12011336
Stuart Weitzman,88766
Stuckey's,901891
Studio 6,6461798
Studio Barr,982724
Studio Movie Grill,813299
Studio Three,1097299
Sturdy Savings Bank,961290
Style America,71718
Style Encore,3508982
Style Houston Salons,21206
Sub Zero Ice Cream & Yogurt,957854
Subaru,8713146
Submarina California Subs,512562
Suburban Extended Stay,2585970
Suburban Propane,651629
Subway,4002985150
Suddenlink,962687
Sugarfina,592017
Sugarfish,1251399
SuitSupply,1005812
Sullivan Tire Truck Center,345369
Sullivan Tire and Auto Service,873506
"Summit Materials, Inc.",3198689
Sun & Ski Sports,7978741
Sun Country Cleaners,573502
Sun Fresh,741066
Sun Loan,4500798
Sun Outdoors,1447698
Sun Stop,11550617
Sun Tan City,1311519
SunTrust Banks,4772105
Sunbelt Credit,240085
Sunbelt Rentals,1578970
Suncoast Credit Union,2630457
Suncoast Roofers Supply,43060
Sundiego,1841219
Sunflower Bank,1582710
Sunflower Shoppe,592416
Sunglass Hut,32516293
Sunglass World,225606
Sunnin,259920
Sunoco,1690392060
Sunrise Dental,297380
Sunstone Yoga,690781
Super 1 Foods & Discount Pharmacy,10921155
Super 1 Pharmacy,1032846
Super 8,38586134
Super A Foods,4098169
Super Chix,166996
Super Clean Car Wash,85320
Super Dollar,1302602
Super Duper Burgers,3766784
Super King Markets,17714796
Super Mex,282524
Super Shoes,3682916
Super Star Car Wash,156775
Super Wash,66880
Superba Food and Bread,947658
Supercuts,91555197
Superdry,3038651
Superfresh,13510172
Superior Grocers,12230919
Supplement Superstores,1349680
Supreme Detailing Superstore,23579
Supremo Food Markets,19839611
Sur La Table,2281539
Surcheros,16988879
Surf City Squeeze,5032003
Surf Taco,3110183
Surf Thru Express Car Wash,233151
Sushi Garden,672888
Sushi Roku,2119369
SusieCakes,889834
Suspiros Pastelerias,257331
Sutherland Lumber,5001726
Suzuki,11271260
Swami's Cafe,992171
Swarovski,11507327
Sweaty Betty,820411
Sweet & Sassy,684148
Sweet Factory,674810
Sweet Frog,34903984
Sweet Paris Creperie & Cafe,7015473
Sweet Pea's,1143436
Sweet Tomatoes,1435441
Sweetfin Poke,195405
Swerve Fitness,162004
Swig,2234054
Swiss Farms,20930799
Sylvan Learning,9887692
Syncreon Holdings,348523
Synovus,4469780
Sysco Distribution,361282
T-Mobile,135072190
T.J. Maxx,682651402
T2 Tea,123537
TACO DEL MAR,8751875
TCBY,9929968
TCC,4546212
TD Ameritrade,433019
TD Bank,44884260
TForce Freight,2813756
THE MAX Challenge,1842139
THRIVE Affordable Vet Care,307469
TITLE Boxing Club,4120183
TKK Fried Chicken,659774
TOBU,8953233
TOM FORD,43117
TOM N TOMS Coffee,206332
TP TEA,1439337
TRC Staffing,13995
TRYP by Wyndham,408823
TSO - Texas State Optical,907215
TVC Communications,369442
TaMolly's Mexican Kitchen,166442
Taco Bell,2399718213
Taco Bueno,35195513
Taco Cabana,85846826
Taco Casa,47919427
Taco John's,12858071
Taco Mac,2388391
Taco Mayo,518442
Taco Palenque,2514494
Taco Shack,1115396
Taco Time Northwest,45575556
Taco Villa,2675889
TacoTime,7316779
Tacodeli,984668
Tacolicious,945017
Tacos 4 Life,578470
Tacos Chukis,336658
Tag Heuer,86542
Tahoe Joe's Famous Steakhouse,718553
Take 5 Car Wash,1055460
Take 5 Oil Change,6163582
Talbots,14386254
TalkTime,1107525
Talpa Super Mercados,9615324
Tan Republic,466892
Tandy Leather Factory,4625955
Tapestry Collection by Hilton,11777554
Tapioca Express,3784461
Tapout Fitness,1151127
Taqueria del Sol,987899
Taquerias Arandas,4568835
Target,1279009385
Target Distribution,431986
Target Optical,10701773
Tarka Indian Kitchen,3344546
Tasco Auto Color,114321
Taste,161440
Taste Buds Kitchen,220735
Tasti DLite,296215
Tatte Bakery,9079446
Taunton Federal Credit Union,103126
Taziki's,511242
Techy,474716
Tecovas,3984807
Ted Baker,3140026
Ted's Montana Grill,4929350
Telstra Global Offices,286966
Temple Coffee,6601464
Tempur,4719317
Ten Thousand Villages,1246400
TenRen's Tea,1719061
Tender Greens,10456133
Teriyaki Madness,5754330
Terminix,45852
Terrain's Greenhouse Cafe,5967740
Terrible Herbst,143584
Terry's Supermarket,5937352
Tervis,806908
Tesla Motors,7258154
Tesla Service Center,6042734
Tex's Chicken and Burgers,5395185
Texaco,326592254
Texadelphia,3228183
Texan Credit Corporation,237925
Texas Car Title & Payday Loan Services,972094
Texas Family Fitness,1551645
Texas Farm Bureau Insurance,749271
Texas Roadhouse,168190593
Texas Tool Traders,1432274
Texas de Brazil,8211639
Thai BBQ,423708
Thai Express,1811139
The Ainsworth,182825
The Art of Shaving,120623
The Athlete's Foot,2441995
The Baked Bear,1622919
The Bank of Castile,1677379
The Bank of Princeton,344033
The Bank of Tampa,1090060
The Bar Method,3206748
The Barbers,374493
The Barre Code,480521
The Bay Club,2927549
The Big Biscuit,6649184
The Black Dog,1667569
The Blazing Onion,1314778
The Body Shop,2577997
The Boiling Crab,5890671
The Book Rack,1133791
The Brass Tap,2641433
The Broken Yolk Cafe,6294403
The Bryn Mawr Trust Company,224156
The Buffalo Spot,441530
The Burger Bar by Wegmans,950973
The Burger Den,55609744
The Burger Joint,993581
The Camp Transformation Center,3236916
The Cannabist Company,1460087
The Cape Cod Five Cents Savings Bank,667099
The Capital Grille,7942887
The Cash Store,1744212
The Cat Rental Store,940340
The Center for Medical Weight Loss,516863
The Check Cashing Store,2276425
The Cheesecake Factory,73405646
The Children's Place,34103299
The City National Bank,652051
The Cleaning Authority,355985
The Coffee Bean & Tea Leaf,16802948
The Container Store,12934584
The Counter,228798
The Crab Station,298777
The DRIPBaR,338084
The Dailey Method,493490
The Dog Stop,258274
The Dump,34997
The Edge Fitness Clubs,2212349
The Ephrata National Bank,188475
The Exchange,7099311
The Exercise Coach,2698130
The EyeDoctors Optometrists,104731
The Family Center Superstores,360170
The Farmers National Bank,297757
The Fidelity Deposit and Discount Bank,392917
The Flame Broiler,20743660
The Floor Trader Outlet,71247
The Food Emporium,3544256
The Fresh Grocer,4837029
The Fresh Market,80440831
The Fresh Works,1428841
The Frullati Cafe and Bakery,110302
The Furniture Mall,767614
The Futon Shop,754504
The Gents Place,621893
The Golf Mart,2268923
The Good Feet Store,10480035
The Great American Bagel,4749262
The Great Greek Grill,32283901
The Green Turtle,466742
The Habit Burger Grill,134451061
The Halal Guys,31634731
The Home Depot,1104809390
The Home Depot Rental,4824030
The Honey Baked Ham Co.,32162932
The Hummus & Pita Co,1342711
The Hummus Factory,204935
The Huntington National Bank,931341
The Jewelry Exchange,860636
The Juicy Crab,854914
The Kebab Shop,4454476
The Keg Steakhouse & Bar,1953130
The Kooples,114806
The Lash Lounge,5762781
The Little Beet,1208115
The Little Gym,6142035
The Loop Pizza Grill,1796943
The Lost Cajun,295926
The Luxury Collection,129990
The Massage Place,532026
The Mattress Factory,776375
The Meadows,6249599
The Medicine Shoppe,10721434
The Melt,836540
The Meltdown,491980232
The Melting Pot Restaurant,20095713
